smiles,hit0,hit1
[H]C(=O)C([H])([H])C([H])([H])C([H])([H])N([H])N([H])[C@@]([H])(c1onc(C([H])([H])[H])c1[H])[C@@]([H])(C([H])(C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])[H])C([H])([H])S(=O)(=O)N([H])[H],m0037a,m0269a
[H]c1c(C([H])([H])[H])noc1C([H])([H])N1C(=O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@@]12C([H])([H])C([H])([H])C([H])([H])[C@]([H])(C(=O)N(C([H])([H])[H])C([H])([H])[H])C2([H])[H],m0037a,m0306a
[H]Oc1c(C([H])([H])[H])c([H])c(N([H])C(=S)N([H])[H])c(O)c1C([H])([H])c1onc(C([H])([H])[H])c1[H],m0037a,m0310a
[H]c1c(C([H])([H])[H])noc1C([H])([H])n1nc(C#N)c([H])c([H])c1=O,m0037a,m0354a
[H]c1c(C([H])([H])[H])noc1[C@]([H])(n1nc(C([H])([H])[H])c(N([H])C([H])([H])[H])c([H])c1=O)C1([H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],m0037a,m0401a
[H]C1C(C([H])([H])[H])N[C@H]2[C@@H]1C([H])([H])N1C(=O)[C@H](C([H])([H])[H])C([H])C(C([H])([H])[H])N1C([H])([H])C([H])([H])N([H])C2([H])[H],m0037a,m0404a
[H]N1[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])C(=O)[C@]12C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C2([H])[H],m0037a,m0409a
[H]C1=C([H])C(C([H])([H])[H])=NN2C1=NN([H])[C@@]21c2c([nH]c(C([H])([H])[H])c2[H])C([H])([H])[C@]([H])(S(=O)(=O)N([H])[H])C([H])([H])C1([H])[H],m0037a,m0424a
[H]c1c(C([H])([H])[H])noc1-c1c(C([H])([H])N([H])C([H])([H])[H])sc2c(C([H])([H])[H])c([H])c([H])c(=O)n12,m0037a,m0455a
[H]N1C([H])([H])C([H])([H])[C@]2(C(=O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])N2[H])[C@@]12N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C2([H])[H],m0037a,m0457a
[H]c1c(C([H])([H])[H])noc1C([H])([H])N1C(=O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])[C@]12N([H])[C@]([H])(C([H])([H])S(=O)(=O)C([H])([H])[H])N([H])C2([H])[H],m0037a,m0468a
[H]c1c(C([H])([H])[H])noc1C([H])([H])n1nc(C([H])([H])[H])c([H])c([H])c1=O,m0037a,m0469a
[H]N1C([H])([H])[C@@]2(ON([H])[C@@]([H])(C([H])([H])[H])C2([H])[H])[C@@]([H])(C([H])([H])N([H])S(=O)(=O)C([H])([H])[H])C([H])([H])[C@]12C(=O)C([H])([H])C([H])([H])[C@]([H])(C([H])([H])[H])N2[H],m0037a,m0470a
[H]c1c(C([H])([H])[H])[nH]c2c1[C@]([H])(n1nc(C([H])([H])[H])c([H])c([H])c1=O)C([H])([H])[C@]2([H])[O-],m0037a,m0471a
[H]C1C([H])C(C([H])([H])[H])[C@H]2C(C1O)C([H])([H])[C@@]1(ON([H])[C@@]([H])(C([H])([H])[H])C1([H])[H])C([H])([H])[C@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C2([H])[H],m0037a,m0472a
[H]/C([O-])=C(/[H])c1noc(C([H])([H])c2nc(C([H])([H])[H])c([H])c([H])c2C(=O)C([H])([H])[H])c1[H],m0037a,m0501a
[H]c1c(C([H])([H])[H])noc1C([H])([H])N1C(=O)C([H])([H])C([H])([H])[C@]2(N1[H])C([H])([H])C([H])([H])[C@]([H])(O[C@]1([H])C(=O)N(C([H])([H])[H])C([H])([H])C1([H])[H])C([H])([H])[C@@]2([H])F,m0037a,m0514a
[H]c1c(C([H])([H])[H])noc1C([H])([H])n1nc(C([H])([H])[H])c(N([H])C([H])([H])[C@]2([H])OC([H])([H])C([H])([H])N(C([H])([H])[H])C2([H])[H])c([H])c1=O,m0037a,m0533a
[H]Oc1c(C([H])([H])[H])nn(C([H])([H])[C@@]([H])(c2onc(C([H])([H])[H])c2[H])C([H])([H])[H])c(=O)c1[H],m0037a,m0536a
[H]c1c(C([H])([H])[H])noc1[C@]([H])(n1nc(C([H])([H])[H])c([H])c([H])c1=O)C([H])([H])N([H])S(=O)(=O)C([H])([H])[H],m0037a,m0549a
[H]C(=O)[C@](c1onc(C([H])([H])[H])c1[H])(N1C(=O)[C@@]2(OC([H])([H])C([H])([H])C2([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])N1[H])C([H])([H])[H],m0037a,m0573a
[H]c1c(C([H])([H])[H])noc1C([H])([H])n1nc(-c2c([H])c([H])c(C([H])([H])N([H])C(=O)C([H])([H])OC([H])([H])[H])c([H])c2[H])c([H])c([H])c1=O,m0037a,m0604a
[H]c1c(C([H])([H])[H])noc1[C@@]([H])(N([H])[C@]1([H])C([H])([H])N(S(=O)(=O)N2C([H])([H])C([H])(OC([H])([H])[H])C2([H])[H])C([H])([H])C1([H])[H])n1nc(C([H])([H])[H])c([H])c([H])c1=O,m0037a,m0611a
[H]O[C@]1(n2nc(C([H])([H])[H])c([H])c([H])c2=O)C2C([H])C(C([H])([H])[H])N[C@@H]2C([H])([H])OC([H])([H])C([H])([H])N1[H],m0037a,m0615a
